t [s],U_a [V],U_m [V],U_g [V],I [A]
3.94946399588516E-6,2989.94826231029,623.095791378586,2366.85247093171,0.00817
3.94947287310062E-6,2989.94908347662,624.443932509455,2365.50515096716,0.00819
3.94948175164167E-6,2989.94990473208,625.789316636202,2364.16058809587,0.0082
3.94949061713905E-6,2989.95072474758,627.130097769819,2362.82062697776,0.00821
3.9494995120087E-6,2989.95154744632,628.472284712965,2361.47926273335,0.00823
3.94950834547625E-6,2989.95236443261,629.800813092827,2360.15155133978,0.00824
3.9495171653326E-6,2989.95318012696,631.12411086528,2358.82906926168,0.00826
3.94952591470946E-6,2989.95398927043,632.429829049547,2357.52416022088,0.00829
3.9495346007262E-6,2989.95479252217,633.722787587635,2356.23200493453,0.00829
3.94954323998366E-6,2989.95559141798,635.010651951693,2354.94493946629,0.0083
3.94955193690477E-6,2989.95639561407,636.30773752805,2353.64865808602,0.00831
3.94956063471033E-6,2989.9571998598,637.603794809225,2352.35340505057,0.00832
3.94956931769395E-6,2989.95800270294,638.895391062459,2351.06261164049,0.00834
3.94957798230456E-6,2989.95880381536,640.181840106486,2349.77696370887,0.00835
3.94958661316414E-6,2989.9596017755,641.461326519393,2348.49827525611,0.00836
3.94959526223597E-6,2989.96040138769,642.742672157236,2347.21772923045,0.00839
3.94960391853456E-6,2989.96120163617,644.023043489454,2345.93815814671,0.00839
3.94961257254414E-6,2989.96200164121,645.301195526176,2344.66080611503,0.0084
3.94962123269872E-6,2989.96280218245,646.577377195174,2343.38542498728,0.00841
3.94962986035415E-6,2989.9635996878,647.845783408175,2342.11781627962,0.00843
3.94963848856548E-6,2989.96439721289,649.112464822169,2340.85193239072,0.00844
3.9496471045103E-6,2989.9651935726,650.374904248042,2339.59028932456,0.00846
3.94965568110736E-6,2989.96598626412,651.629104437186,2338.33688182694,0.00848
3.9496642886767E-6,2989.96678178682,652.887436016129,2337.0793457707,0.00848
3.94967290507718E-6,2989.96757809418,654.146365297677,2335.8212127965,0.00849
3.94968152979575E-6,2989.96837513868,655.402671632181,2334.5657035065,0.00851
3.94969011434915E-6,2989.96916843997,656.650162223904,2333.31900621607,0.00852
3.94969868824983E-6,2989.96996072558,657.89507627967,2332.07488444591,0.00854
3.9497072703625E-6,2989.97075373875,659.139284177588,2330.83146956116,0.00855
3.94971583443045E-6,2989.97154505333,660.377641182197,2329.59390387113,0.00858
3.94972434271438E-6,2989.97233118264,661.606181877561,2328.36614930508,0.00858
3.94973285946078E-6,2989.97311806304,662.835260777709,2327.13785728533,0.00859
3.94974137784922E-6,2989.97390506432,664.063246821946,2325.91065824238,0.0086
3.94974988516952E-6,2989.97469101226,665.288894648905,2324.68579636335,0.00862
3.94975839963539E-6,2989.97547758954,666.514532198036,2323.46094539151,0.00863
3.94976691311191E-6,2989.97626404463,667.73778252918,2322.23848151545,0.00864
3.94977541132503E-6,2989.977049059,668.957131131395,2321.0199179276,0.00867
3.94978390309662E-6,2989.97783344769,670.17352193764,2319.80431151005,0.00867
3.94979236416905E-6,2989.9786149702,671.38416570717,2318.59444926303,0.00868
3.9498008429288E-6,2989.97939809592,672.595978690141,2317.38341940578,0.00869
3.94980929475512E-6,2989.98017870358,673.802801720195,2316.17737698338,0.00871
3.94981774313635E-6,2989.98095896271,675.007754413617,2314.9732045491,0.00872
3.9498261767359E-6,2989.98173782642,676.208682823751,2313.77305500267,0.00875
